Id,Title,Category,Diagram,Interaction,Priority,State,Description,Justification,Last Modified
421,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,Admin Request,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01). Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:07:32
420,Collision Attacks,Tampering,App Turismo Inteligente,Admin Response,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:07:23
416,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,Admin Response,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01), same threat family as representative ID 404. Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:06:49
403,Elevation by Changing the Execution Flow in Backend,Elevation Of Privilege,App Turismo Inteligente,Admin Request,High,Mitigated,An attacker may pass data into Backend in order to change the flow of program execution within Backend to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:05:03
402,Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,Admin Request,High,Mitigated,Browser Client may be able to remotely execute code for Backend.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:04:55
401,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Admin Request,High,Mitigated,Backend may be able to impersonate the context of Browser Client in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:04:47
400,Data Flow Admin Request Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,Admin Request,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:04:38
399,Potential Process Crash or Stop for Backend,Denial Of Service,App Turismo Inteligente,Admin Request,High,Mitigated,"Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:04:30
398,Potential Data Repudiation by Backend,Repudiation,App Turismo Inteligente,Admin Request,High,Mitigated,"Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10). Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 23:04:21
422,Risks from Logging,Tampering,App Turismo Inteligente,Audit Log,High,Mitigated,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.","Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 23:07:41
396,Elevation by Changing the Execution Flow in Browser Client,Elevation Of Privilege,App Turismo Inteligente,Admin Response,High,Mitigated,An attacker may pass data into Browser Client in order to change the flow of program execution within Browser Client to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:04:13
395,Browser Client May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,Admin Response,High,Mitigated,Backend may be able to remotely execute code for Browser Client.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:03:58
394,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Admin Response,High,Not Applicable,Browser Client may be able to impersonate the context of Backend in order to gain additional privilege.,NA-3. Not applicable: the Browser Client receives neither a service credential nor the Backend execution context. Applicable operational impersonation and authorization threats are addressed separately.,05/05/2026 22:58:35
393,Data Flow Admin Response Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,Admin Response,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:03:48
392,Potential Process Crash or Stop for Browser Client,Denial Of Service,App Turismo Inteligente,Admin Response,High,Mitigated,"Browser Client crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:03:20
391,Potential Data Repudiation by Browser Client,Repudiation,App Turismo Inteligente,Admin Response,High,Mitigated,"Browser Client claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10). Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 23:03:12
390,Backend Process Memory Tampered,Tampering,App Turismo Inteligente,Admin Response,High,Not Applicable,"If Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what Browser Client executes (for example, passing back a function pointer.), then Backend can tamper with Browser Client. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.","NA-2. Not applicable: the threat assumes shared memory or direct execution control, while the DFD models separate components without shared memory.",05/05/2026 22:58:22
418,Collision Attacks,Tampering,App Turismo Inteligente,Internal Response,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:07:05
366,Elevation by Changing the Execution Flow in Smartphone (App),Elevation Of Privilege,App Turismo Inteligente,App Response,High,Mitigated,An attacker may pass data into Smartphone (App) in order to change the flow of program execution within Smartphone (App) to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:01:11
365,Smartphone (App) May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,App Response,High,Mitigated,API may be able to remotely execute code for Smartphone (App).,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 23:01:02
364,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,App Response,High,Not Applicable,Smartphone (App) may be able to impersonate the context of API in order to gain additional privilege.,NA-3. Not applicable: the Smartphone receives neither a service credential nor the API execution context. Endpoint spoofing and malicious responses are addressed by separate applicable threats and CTL-STR controls.,05/05/2026 22:57:51
363,Data Flow App Response Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,App Response,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:00:47
362,Potential Process Crash or Stop for Smartphone (App),Denial Of Service,App Turismo Inteligente,App Response,High,Mitigated,"Smartphone (App) crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:00:39
361,Potential Data Repudiation by Smartphone (App),Repudiation,App Turismo Inteligente,App Response,High,Mitigated,"Smartphone (App) claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10). Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 22:59:54
360,API Process Memory Tampered,Tampering,App Turismo Inteligente,App Response,High,Not Applicable,"If API is given access to memory, such as shared memory or pointers, or is given the ability to control what Smartphone (App) executes (for example, passing back a function pointer.), then API can tamper with Smartphone (App). Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.","NA-2. Not applicable: the threat assumes shared memory or direct execution control, while the DFD models separate components without shared memory.",05/05/2026 22:57:43
409,Replay Attacks,Tampering,App Turismo Inteligente,App Response,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:05:54
358,Elevation by Changing the Execution Flow in API,Elevation Of Privilege,App Turismo Inteligente,App Request,High,Mitigated,An attacker may pass data into API in order to change the flow of program execution within API to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 22:59:44
357,API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,App Request,High,Mitigated,Smartphone (App) may be able to remotely execute code for API.,"Analytical mitigation specified by CTL-STR-08.A, CTL-STR-08.B (CT-STR-08). Proposed control: least privilege, operational-access segregation, and input validation. Expected evidence: RBAC, administrative profiles, input validation, and cybersecurity tests.",05/05/2026 22:59:34
356,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,App Request,High,Not Applicable,API may be able to impersonate the context of Smartphone (App) in order to gain additional privilege.,"NA-3. Not applicable: the API does not receive, reuse, or delegate the Smartphone security context; client and service identities are distinct. Endpoint spoofing and malicious responses are addressed by applicable threats and CTL-STR controls.",05/05/2026 22:57:34
355,Data Flow App Request Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,App Request,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 22:59:25
354,Potential Process Crash or Stop for API,Denial Of Service,App Turismo Inteligente,App Request,High,Mitigated,"API crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04). Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 22:59:18
353,Potential Data Repudiation by API,Repudiation,App Turismo Inteligente,App Request,High,Mitigated,"API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10). Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 22:59:10
